channel_id,channel_title,channel_url,niche,subscriber_count
UCuX5RP97yUHAEE3PRDhRGzg,Podcast Faculdade Gran Tietê - Barra Bonita SP,https://www.youtube.com/channel/UCuX5RP97yUHAEE3PRDhRGzg,ensino,430
UCQl8xFKXR2z7PTDhwLDkYFQ,eSabeOkê Podcast,https://www.youtube.com/channel/UCQl8xFKXR2z7PTDhwLDkYFQ,docência,419
UCvoJ4a5c5Cx_97MWniNT4jA,Sabidão Podcast,https://www.youtube.com/channel/UCvoJ4a5c5Cx_97MWniNT4jA,escola,412
UCvi10QIkLiWBwWeFHolndCg,MUSCULANDO  PODCAST,https://www.youtube.com/channel/UCvi10QIkLiWBwWeFHolndCg,treinamento,350
UClIRMf3pdhOY8gG2PSaqtTg,Educação na mesa,https://www.youtube.com/channel/UClIRMf3pdhOY8gG2PSaqtTg,aprendizagem,332
UCnZD2tkw5LqNON9-bqHYBrQ,Escribe PodCast,https://www.youtube.com/channel/UCnZD2tkw5LqNON9-bqHYBrQ,capacitação,323
UCSS3GyJoZxi2jf8dBz4zq0Q,Papo de Ação Podcast,https://www.youtube.com/channel/UCSS3GyJoZxi2jf8dBz4zq0Q,aprendizado,320
UCNlJmEISSKUUAB8eGh35Eng,Pianissimo Podcast,https://www.youtube.com/channel/UCNlJmEISSKUUAB8eGh35Eng,didática,318
UCQKmyHs8K5Wo7YjPYZAK-OA,PODCAST - LUMIÈR,https://www.youtube.com/channel/UCQKmyHs8K5Wo7YjPYZAK-OA,escola,298
UCBSmnGeXGlDMt0WDDOseH6g,TIRACAST: Podcast da Escola Tiradentes,https://www.youtube.com/channel/UCBSmnGeXGlDMt0WDDOseH6g,escola,283
UC4FPO6V1crXN1rZxhqjYdLw,VenceR Podcast,https://www.youtube.com/channel/UC4FPO6V1crXN1rZxhqjYdLw,formação,263
UCXyH3cc2NNvY9dy2Nd24xpw,Intercâmbio Linguístico,https://www.youtube.com/channel/UCXyH3cc2NNvY9dy2Nd24xpw,aprendizado,249
UCAY01FzNMS6P4kXI0L5gXOA,MEVCAST PODCAST,https://www.youtube.com/channel/UCAY01FzNMS6P4kXI0L5gXOA,pesquisa,230
UCYiRjnuDOCtI60AFtyfLHsQ,Didaticast: um podcast para quem ousa ensinar,https://www.youtube.com/channel/UCYiRjnuDOCtI60AFtyfLHsQ,didática,220
